    Step    Atoms         tot[4]       pairc[4]           f[4]         mvv[4]         Volume         KinEng 
       0     1000     -13.036554     -13.036554              0              0           1000              0 
     100     1000      -284.6042      -278.2324              0      -6.371803           1000      697946.95 
     200     1000     -275.52012     -240.11455              0     -35.405569           1000      1348213.4 
     300     1000     -287.61252     -239.83487              0     -47.777649           1000        2311980 
     400     1000     -324.22599     -298.81595              0     -25.410041           1000      2933764.1 
     500     1000     -251.32708      -211.0307              0     -40.296381           1000      3056039.3 
     600     1000     -296.98524     -236.86419              0     -60.121047           1000      3542398.9 
     700     1000     -285.39042     -229.60254              0     -55.787877           1000        3899512 
     800     1000     -273.11056     -215.15987              0     -57.950694           1000      4026868.6 
     900     1000     -311.01909     -244.60565              0     -66.413437           1000      4203189.7 
    1000     1000     -291.02293     -230.96687              0     -60.056059           1000        4518890 
    1100     1000     -311.45903     -227.15073              0     -84.308308           1000      4419560.6 
    1200     1000     -343.42347     -259.92014              0     -83.503336           1000      4719285.1 
    1300     1000     -322.24489     -235.45762              0     -86.787267           1000      4963393.7 
    1400     1000       -352.139      -267.1377              0     -85.001296           1000      5066109.1 
    1500     1000     -423.11301     -296.73907              0     -126.37395           1000      5531319.8 
    1600     1000     -364.89518     -275.61701              0     -89.278166           1000      5689980.8 
    1700     1000     -374.76807     -265.99208              0     -108.77599           1000      6040363.6 
    1800     1000     -436.33684     -329.48665              0     -106.85019           1000        6180706 
    1900     1000     -440.53895     -318.20492              0     -122.33403           1000      6484918.2 
    2000     1000     -439.06383     -323.36845              0     -115.69538           1000      6757735.6 
    2100     1000     -442.72552     -343.97269              0     -98.752824           1000      7183424.5 
    2200     1000     -414.16189     -300.35037              0     -113.81152           1000      7354674.6 
    2300     1000     -455.51864     -338.54518              0     -116.97346           1000      7524984.1 
    2400     1000     -433.24466     -335.21214              0     -98.032524           1000      7709695.2 
    2500     1000      -463.1983     -345.75291              0     -117.44539           1000      7806010.2 
    2600     1000     -445.08532     -339.84501              0     -105.24031           1000      7896909.9 
    2700     1000     -467.77234     -351.76785              0     -116.00449           1000      8474428.4 
    2800     1000     -489.74764     -372.26263              0     -117.48502           1000      8831761.9 
    2900     1000     -453.90262     -339.22447              0     -114.67815           1000      8980562.1 
    3000     1000     -490.51449     -351.46009              0      -139.0544           1000      9015626.9 
